processed,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
ban go harm so many people disabled veteran people chronicpain iamkratom,0,0,1,0,0,0,0,0
happy birthday stephen king man responsible best horror past 40 years whole bunch worst,0,0,0,0,1,0,0,0
courage always rise every attempt intimidate elizabeth bennett pride prejudice quote courage face fear,0,1,0,0,1,0,0,1
still not sunk seeing joe next month so grateful excited shit,0,1,0,0,1,0,0,0
sa good day work get shake jim lehrer hand thanks still kicking shy hug,0,0,0,0,1,0,0,1
so bored fat full ridiculously overweight roll galore,0,1,1,0,0,1,0,0
underland time line quite funny doom gloom facing u long trip u midweek whatgoesaroundcomesaround,0,1,0,0,1,0,0,0
luck rest fall go anything like today think going like season bestdayever magic work,0,1,0,0,1,0,0,0
flirt simper pout repeat yuck,1,0,1,0,0,0,0,0
trumpism likewise rest bed racial resentment made knowingly intentionally long trump got politics,1,1,1,0,0,1,0,0
bpharm4 guy eish guy brings anger life see nje like darkness fill know,1,0,1,0,0,0,0,0
soo badly want dye hair dark never dark soo torn,1,0,1,0,0,1,0,0
tear eye dry not burning like wire lightbulb,1,0,0,0,0,0,0,0
hell fury like woman scorned william congreve,1,0,0,1,0,0,0,0
agree current ultra left democratic party lost lot member including switched repub,0,0,0,0,0,0,0,0
tried 2 get earlier flt 2day turnd away bcuz 2 late agent let pas silvereliteleftbehind,0,0,1,0,0,1,0,0
since sa friend pereg si not want offend peace,0,1,0,0,1,1,0,1
so wish could someday come spain play not believe not going see sad,0,0,0,0,0,1,0,0
worst customer service lack professionalism service provider phoneprovider badbusiness,1,0,1,0,0,1,0,0
val got little too big hiking boots bakewell little terror g,0,0,0,1,1,0,0,1
cheery,0,1,0,0,1,0,0,1
bridget jones baby bloody hilarious bridget jones baby,0,1,0,0,1,0,0,0
really strange awful dream last night not even eat cheese bed lovemysleep,1,0,1,1,1,1,0,1
bts 화양연화 trilogy mv time fav quite gloomy beautiful well,0,0,0,0,1,0,0,1
brad pitt investigated child abuse just got really dark,1,0,1,0,0,1,0,0
watch amazing broadcast boss musicallyjh,0,1,0,0,1,0,1,0
start posting photo,0,1,0,0,0,0,0,0
prudence suggests a8 bump 2 3 week viewed skepticism media hrc axis angry,1,0,1,0,0,0,0,0
oh almost odd cheerfulness big boss offer muzzle flash blinding accidental guy became best friend,1,1,1,0,1,0,0,0
thank disney themed episode letting discover amazing hilarious,0,0,0,0,1,0,0,0
need new outlet rage,1,0,1,0,0,0,0,0
watch amazing broadcast musically,0,1,0,0,1,0,0,1
rewatching raising hope hub time totally forgot hilarious go,0,0,0,0,1,0,0,1
wow not heard forever random great sting xph,0,0,0,0,1,0,0,0
so mean like uber despair someone driver,0,0,1,0,0,0,0,0
not love honesty best policy smile,0,1,0,0,1,0,0,1
offended actually,1,0,0,0,0,1,0,0
room 101 would go russell howard tom odell michael buble pants nogood,1,1,1,0,0,1,0,0
gaad stayed london,1,0,1,0,0,1,0,0
may optimism tomorrow foundation today,0,1,0,0,1,0,0,0
aired radio filmed lots fan pond too wale lost,0,1,0,0,1,1,0,0
also trying find youtube fucking nightmare,1,0,1,0,0,0,0,0
glad see fun un water sports always fun challenging exhilarating happiness beauty,0,1,0,0,1,0,0,1
spent 2 fucking hour still not get damn siva fragment fellwinters peak mountain,1,0,1,0,0,0,0,0
actually heely campus scare,0,0,0,1,0,0,0,0
get smart q smart way start investing whiteicenetwork smart source 2 start skilled manpower recruitment firm,0,1,0,0,1,0,1,0
oh god actually thought going jump bully south park20 southpark,0,1,0,0,0,0,0,0
whole team limited field,0,1,0,0,1,0,0,0
happy birthday lost lost dharmainitiat 12years 22september2004 oceanic815,0,0,0,0,1,0,0,0
people like see happy exterior not hopelessness sometimes feel inside depression anxietyprobz,0,0,0,1,0,1,0,0
night sparkling not let go wonderstruck blushing way home valerie bot,0,1,0,0,1,0,1,1
current run superman continues delight feel love poured everone creat team superman,0,1,0,0,1,0,0,1
people go peed limit irritate,1,0,1,0,0,0,0,0
fuck fuck soul blues rock band music heart soul passion xx xx,0,0,0,0,1,0,0,0
last product buy promise absolutely customer service,1,1,1,0,1,0,0,0
ohh so come sense terror supporting stone pelting vandalizing people gather protest announce,1,0,1,1,0,0,0,0
huh always fault not gt huff sulk,1,0,1,0,0,1,0,0
know trusted words soft ignored anger focused hurt beneath know screwed,1,0,1,0,0,1,0,0
never more anxious election life,0,0,0,1,0,0,0,0
elizabeth smith aid cheery smile pleasure meet sir travelled,0,1,0,0,1,0,0,1
fav movie horror not make like used too not seen great one years,0,0,1,0,0,1,0,0
james no 500k no 50k no 25k no 10k fucked bb18 bitter shouldof votedfor nicole,1,0,1,0,0,1,0,0
like bridge divide right left twitter say new tweet truncating thing fucking awful,1,0,1,0,0,0,0,0
shy laugh,0,1,0,1,0,1,0,0
just happened need smoke,1,0,0,0,0,0,0,0
hahahahahaha oh gosh hilarious black man trying keep racism alive get man,1,1,1,0,1,0,0,0
joes girlfriend started singing star joe got angry sing right started angrily singing back,1,0,0,0,0,0,0,0
chris ate mac n cheese so going eat taffy revenge,1,0,1,0,1,0,0,0
remember heyday lady range age say mid 30 early 70,0,1,0,0,1,0,0,0
so house get instestines scare poop shit pants,1,0,1,1,0,0,0,0
came work no reason could stayed bed,1,1,0,0,0,1,0,0
old lady cray cray scared bella so cute awe empire,0,0,0,1,0,0,0,0
redneck intellectually intimidate force dancing clown,1,1,1,0,0,1,0,0
hi name anxiety shaun,0,0,0,1,0,0,0,0
sometimes like talk sadness time just want distracted friend laughter shopping eating mh chat,0,0,1,0,0,1,0,0
noo without mary berry awful endofanera going 2b so lost bought lameduck notallaboutthemoney,1,1,1,0,0,1,0,0
ha got book meeting tarbucks nola josh say terrific,0,1,0,0,1,0,0,1
bright side music theory teacher just pocket dabbed said know hip walked away,0,0,0,0,1,0,0,0
well go one two ways either get accept not going change mope,1,1,1,0,0,0,0,0
people like see happy exterior not hopelessness sometimes feel inside depression anxiety anxietyprobz,0,0,0,1,0,1,0,0
morning course sunny monday morning cheerfully welcome u back work,0,1,0,0,1,0,0,0
u messed mind anticipating next episode apprehension delight isthereahelplineforthis,0,1,0,0,1,0,0,0
although war guise combating terrorism fact war poverty ignorance just stupidity,1,1,1,0,1,0,0,0
god need new goal keeper horrific,1,1,1,0,0,1,0,0
old age no hope rest u destined become deatheaters 50 nightmare,0,0,0,1,0,1,0,0
wanted green potato bottle tag still plus soaking wet items delivered winning today sadly not,0,1,0,0,0,1,1,0
everybody worried stopping terrorism well sa really easy way stop participating noam chomsky,0,1,0,1,1,0,0,0
wow almost tmobile store san diego note7 replacement sadness need get mine replaced,0,1,0,0,0,1,0,0
worried felt safe unhappy,0,0,0,1,0,1,0,0
sadly go bed not announce anything gone thank love,0,0,0,0,1,1,0,1
look average player play min pine rafael rvp,0,1,0,0,1,0,0,0
ahs6 every 5 minute saying nope nope gone move gtfo so thank,1,0,0,0,0,0,0,0
wish really truly wish just modicum banter,0,1,0,0,1,0,0,0
huge congratulation nicole winning big brother 18 b18 sorry not sorry bitter bbmichelle,1,1,1,0,1,0,0,0
nothing worse uber driver not drive awful,1,0,1,0,0,0,0,0
leave rule nimber 1 carpet cleaning furious worsethaatomicbomb accidentlyspillbeeronthecarpet,1,0,1,0,0,0,0,0
said say america really fortunate black people want equality not revenge,0,1,0,0,1,0,0,0
know ion play shit bout weary brother,1,0,1,0,0,0,0,0
cmode grimrail made want eat angry bee,1,0,1,0,0,0,0,0
happy birthday cheer cheerchick jeep jeepgirl drive jeep jeepjeep cheer,0,0,0,0,1,0,0,1
assure no laughter increasing anger cost arrogance westminster,1,0,1,1,0,0,0,0
people even debating race inequality within justice system like non existent just trying aggravate u,1,0,1,0,0,0,0,0
contained depression new economic engine sustainability say joel g econ new grand strategy,0,1,0,0,0,1,0,0
solid start bozzelli ben evans hoping good start,0,1,0,0,1,0,0,0
gt huff louder,0,1,0,0,0,1,0,0
laughing loud thought maybe could not decide levity not,0,1,0,0,1,0,0,0
sa certain hilarity people angry protest national anthem flag act covered 1st amendment,1,0,1,0,0,0,0,0
extremely playful,0,1,0,0,1,0,0,1
love lizzy warren latest rage wall street,1,0,0,0,1,0,0,1
not want pity instructor like understanding truly trying despite circumstance make discouraged,1,1,0,0,0,1,0,0
communitysleepcoach look narcoleptic puppy make smile human find odd position seek th,0,0,0,0,1,0,0,1
sigh depression saddness afterellen shitsucks,1,1,1,0,0,1,0,0
spent campaign dividing people pitting message fear resent,1,0,1,1,0,1,0,0
stopped smiled rude not ame funny just mean bully stoppickingonwomen,1,0,1,0,0,1,0,0
9 9 versus atlanta yr 2 11 versus rockies dbacks yr sa combined 11 20 versus 3 atrocious team nl awful,1,0,1,0,0,0,0,0
see hovering block button today much glee,0,1,0,0,1,0,0,0
experience play role education preparedness not fear,0,1,0,1,1,0,0,0
appointment booked 1 6 today waited day nobody showed also requested call back never got one awful,1,0,1,0,0,0,0,0
always indeed wonderful experience flying guy today bestinbusiness delight happyme,0,1,0,0,1,0,1,1
summer officially end today sadness,0,0,0,0,0,1,0,0
seriously dude buy bubble tape phone snap broke another phone,1,0,1,0,0,0,0,0
happy want others not like let happiness choice life not pleasing everybody,0,1,0,0,1,0,0,0
holy shit hell happened lip fix shit mtv teenmom horrible,1,0,1,0,0,0,0,0
grateful hungry people life hungry learn change grow help etc not sure anybody better,0,1,0,0,1,0,0,0
final vestige 90 childhood just dashed hoals hearing house cover tracy chapman fast car dayjob,0,0,0,0,0,1,0,0
see gleeful look face criminal king used n word denigrate black,1,0,1,0,1,0,0,0
maybe entire russian team test posit meldonium north american get replace,1,1,1,0,0,0,0,0
hey folk sorry anything offens got posted yesterday account got hacked fixed though hope angry annoyed,1,0,1,0,0,0,0,0
not get discouraged early get overwhelming keep reading use cue cards get better,0,1,0,0,1,0,0,0
need bit g cheer terrible day,0,1,0,0,1,1,0,0
say releasing more idina party ticket set alarm not miss fingerscrossed idina,0,1,0,0,1,0,0,1
just lucky bad pitcher hateve elkracken legit future gottawearshades let u go yankee,1,1,1,0,1,0,0,0
dream trying steal kidney blackmarket whydidiwatchthat,1,0,0,1,0,0,0,0
not made world empath unhappy,0,0,0,0,0,1,0,0
freak not afraid take chance peace teach peace li peace peace last wordvof history pope john paul ii,0,1,0,0,1,0,0,1
hater just taught hate not shown love good quote go comment tiff treat,1,0,0,0,0,1,0,0
nervous test rip,0,1,0,1,0,1,0,0
tiangong 1 china first space laboratory come fiery end late 2017 average decommissioned satellite either burn,0,0,0,0,0,0,0,0
breezy deserve,0,1,0,0,1,0,0,0
main hesitation going plus size apple get plus 6 size think asp jump,0,1,0,0,1,1,0,0
chirp look car coming wesszz,0,1,0,0,0,0,0,0
ahead poll trump dismal performance upcoming debate easy win hillary,0,1,0,0,1,0,0,0
ryan gosling eva mendes finally joyful funny not boss not argue everything kid go mini car trip focus love,0,0,0,0,1,0,0,1
april 25th 2010 keep good work sober prouder,0,1,0,0,1,0,0,1
hey never know channel version g might actually quite good advert not end world optimism,0,1,0,0,1,0,0,1
turn game wanting play madden load game just turn,0,0,0,0,0,0,0,0
so embarrassed aw u like knvfkkjg think stalker n tart waving cheerfully inviting u,0,1,0,0,0,1,0,0
wow one dad top favorite throwback rapper just died fiery car crash today atlanta so sad so sad,0,1,1,0,0,1,0,0
not wait listen new single mystery new album newmusic newsingle newalbum 2016 popmusic dark,0,1,0,0,1,0,0,1
future bright remember,0,1,0,0,1,0,0,0
let u start,0,0,0,0,0,0,0,0
anybody know good place book show montreal short not super short notice punkrock postpunk blues,0,1,0,0,1,0,0,1
not afraid pace dream reality dream make so,0,1,0,1,1,0,0,1
heart so pure smile so bright love more number stars night kindly follow please harry 90 127,0,1,0,0,1,0,0,1
finally leaving first job soon working since 16 going kind bitter sweet,0,0,0,0,0,1,0,0
life order complete amazing life journey successfully,0,1,0,0,1,0,1,0
not get started town centre used go every week not 18 month horrible,1,0,0,1,0,0,0,0
hope sleep no nightmare bakewell tart yuk g,0,0,0,1,0,0,0,0
brawndo cure depression idiocracytoday,0,0,0,0,0,1,0,0
rejoice birth grieve funeral not person involved mark twain,0,1,0,0,1,0,0,0
word go taught preached correctly comfort afflicted afflict comfortable offend tell truth sin,0,1,0,0,1,0,0,0
india take revenge making 3 new movie like phantom like ghus_k_maren_ge indian army take revenge,1,1,1,0,1,0,0,0
highlight would imagine 30 second highlight whole season so far venkysout,0,1,0,0,0,0,0,0
dislike people get offended littlest shit,1,0,1,0,0,0,0,0
look adorable awe,0,0,0,0,1,0,0,1
awe miss too,0,0,0,0,1,1,0,1
sadly not think see tour fun going rock hot tour,0,0,0,0,1,1,0,0
gave kendrick lamar eat barbecue,0,1,0,0,1,0,0,0
so shine good deed weary world roald dahl charlie chocolate factory,0,1,0,0,1,0,0,0
new play tonight pretty much blind run played game maybe got 2 level rage horror,1,0,1,1,0,0,0,0
fuck n moron u23 smfh not just lackadaisical,1,0,1,0,0,1,0,0
road rage give anxiety,1,0,0,1,0,0,0,0
rooney 5 yard pace league cup game northampton town let sink moment fuck c,0,1,0,0,1,1,0,0
brings back great memory hilarity sat nightlive,0,0,0,0,1,0,0,1
god full shilling seriously need major rethink no lab gove lifetime sad,0,1,0,0,0,1,0,0
significantly bitter smile let,1,0,1,0,0,0,0,0
just trying go home tonight run 2nd 20 run 3rd 20 champ sike loser terrible,1,1,1,0,0,1,0,0
drink watch worst way cheer,0,1,1,0,1,1,0,0
horrific situation get worse trump elected vote hillary,0,0,0,1,0,0,0,0
not many chance show looked lively good shot tipped bar end,0,0,0,0,1,0,0,0
need advice get rut needmotivation,0,1,0,0,1,0,0,1
health think depression feel like,0,0,0,0,0,1,0,0
easy spot parade tiny weans expens jammies really hilarious,0,0,0,0,1,0,0,0
mattmilne76 thank letting u know please not hesitate contact u future assistance needed thank,0,1,0,0,1,0,0,0
horror site would interested writing guest article review really craving literary outlet lately,0,1,0,1,0,0,0,1
worry payment problem may never joyce meyer motivation leadership,0,1,0,0,1,0,0,0
muscled man huge heart messing brain heart lost confused,0,0,0,0,0,1,0,0
follow amazing australian author fiction zombie angel demon vampire werewolf follow authorlove,0,1,0,0,1,0,0,1
trump say refugee situation not just terrorism quality life take note,1,0,1,1,0,0,0,0
wearing black tomorrow mourn,0,1,1,0,0,1,0,0
349 just decoded 20 more blues not one 340 getting blues,0,1,0,0,0,0,0,0
he right civil war start wall wall terrorism not fancy muzzy chance,1,1,1,1,0,0,0,0
thank obama cut elated back home,0,1,0,0,1,0,0,1
laugh louder time shaking head really cheesy not,0,0,0,0,1,0,0,0
whatt trailerr ranbir kapoor aishwarya rai bachchan completely blown awestruck longingformore,0,1,0,0,1,0,1,1
so bad slash price send refugee camp like team gear lose championship,1,0,1,0,0,1,0,0
4yo gone blast gothcore music anxiety not listen 2 around bcuz too spooky sigh momlife,0,0,0,1,0,1,0,0
pretty clear not stand no tolerance habitual liar not trump fan either so sa citizen,1,0,1,0,0,1,0,0
showing biceps scare,0,0,0,1,0,0,0,0
glee,0,0,0,0,1,0,0,0
awake 5 30am seriously bad throat gland feel huuge uni soon grim,1,0,1,0,0,1,0,0
courage cowardly dog like american horror story kid,0,0,0,1,0,0,0,0
awful,0,0,1,0,0,0,0,0
gloriosa bazigaga rwanda work lost relative genocide 15 yr peacebuilding given optimism within power,0,1,0,0,1,0,0,0
finn singing not fight feeling hower spying one best scene show glee,0,1,0,0,1,0,0,1
smile not always mean person happy sometimes simply means strong enough face problem,0,1,0,0,1,1,0,0
mhchat childhood experiences inform adult relationship associat memory not question ability process,0,1,0,0,0,1,0,0
texan astros shut tonight houston back normal texan astros sadness loser,0,0,0,0,0,1,0,0
nick fury,1,0,1,0,0,0,0,0
dream said something really retarded twitter got like 100 retweets nightmare,0,0,0,1,0,1,0,0
not get started town centre used go every week not 18 month,0,0,0,0,0,1,0,0
race advance extra achievement individual individual charles towne inspire,0,1,0,0,1,0,0,0
scrap rage instead,1,0,0,0,0,0,0,0
just told wife chance would 2 sydney team afl grand final response two sydney afl team serious,0,1,1,0,1,0,1,0
think may offended,0,1,0,0,0,0,0,0
wow just really sadden terrible,0,0,1,0,0,1,0,0
meet new people grow reality people desgusting fake so lost cheerfulness started,1,1,1,0,0,1,0,0
hate black lady painting white internet laugh like bad form not laugh,1,0,1,0,0,1,0,0
not believe mint fest two day away hate outfit nightmare,1,0,1,1,0,1,0,0
urgent need get new job constant gloom current one getting bit ridiculous,0,1,0,0,0,1,0,0
glasgow girl real tonic eclectic range song barbed humour eloquence fiery rage injustice,1,1,1,1,1,0,0,0
eat ass no longer insult,1,0,1,0,0,1,0,0
girl playful childlike seem lovely relationship not imagine serious convos cute,0,0,0,0,1,0,0,1
not man not know juggle just not ball funny pun punny laughing loud,0,1,0,0,1,0,0,0
so texting guy ready sex considered flirting,0,1,0,0,0,0,0,1
retweeted gunnysmith93 day like today happy alive blessed,0,1,0,0,1,0,0,0
absolutely love laurie herdez so adorable always so cheerful,0,0,0,0,1,0,0,1
impractical joker practically genius good4thesoul impractical joker bingewatching,0,1,0,0,1,0,0,0
car rental made realize always use disgusted,1,0,1,0,0,1,0,0
so windy so glad not ride bike fear wind,0,0,0,1,1,0,1,0
point living optimist foolish enough believe best yet come peter ustinov optimism quote,0,1,0,0,1,0,0,0
quite response retaliation weiner getting revenge huma hillary clam digging scumbags,1,0,1,0,0,0,0,0
ukulele bag fallen apart well least life not yet joy quote problemsolving behappy,0,1,0,0,1,0,0,0
right back going 2 start killing random white people going normal day not worry though white so safely apprehend,1,1,1,0,0,1,0,0
mention high school aged daughter joyous occasion go college not bring fear trepidation,0,1,0,1,1,0,0,0
talk 2 ask things just 2 get 2 say something want 4g not elated 2 start conversation,1,0,1,0,1,0,0,0
pretty awful look historically,1,0,1,0,0,0,0,0
aa cam animated so proud boy,0,1,0,0,1,0,0,0
terrific tuesday crush today power treat internet like pizza power of4,0,0,0,0,0,0,0,0
watch amazing broadcast lively musically,0,1,0,0,1,0,0,0
broken policy blasio lit gt trump giuliani broken window part pecking order bully politics america resist motto,1,0,1,0,0,0,0,0
mate thing get excited profession mad client said opened bowels rejoicing,0,0,0,0,1,0,0,0
not know nervous see,0,1,0,1,0,1,0,0
worst going morgue posit id horrible reuters,1,0,1,1,0,0,0,0
going affliction cure more shiro,0,1,1,0,1,1,0,0
jstor lingua obscura articles always delight,0,1,0,0,1,0,0,1
feel wrath air dropped pamphlet,0,1,0,0,1,0,0,0
one thing attacking hating worse make u just like angry vengeful behavior detest,1,0,1,0,0,0,0,0
wow right need help so getting laureliver fandom bitter comic fandom,0,0,1,0,0,1,0,0
good optimism sir,0,1,0,0,1,0,0,0
shy girl,0,0,0,0,0,1,0,0
pastor 15 feet away shooting victim protest say skeptical official story charlotte protest charlotte riot,0,1,0,1,0,0,0,0
fear usually need tim ferriss inspiring inspired motivation fear success hustle,0,1,0,1,1,0,0,0
oh god beautiful quote amwriting,0,1,0,0,1,0,1,0
facebook comment tweet make people realize black american feel way terrible,1,0,1,1,0,1,0,0
mm kind sad hope shake school,0,1,0,0,0,1,0,0
every day think house burning always just neighbor burning toast,0,0,0,1,1,0,0,0
fact sometimes not get furious people wrong get furious fool,1,0,1,0,0,0,0,0
happy birthday beautiful cheerful sister ever llnp,0,1,0,0,1,0,0,1
playing yung fav song ni chavs sober,0,1,0,0,1,1,0,0
nothappy still charging fullprice fuming bestrides,1,0,1,0,0,0,0,0
everyone raging,1,0,1,0,0,0,0,0
sometimes get mad something so minuscule try ruin somebody life not like lose job like get federal prison anger,1,0,1,0,0,0,0,0
ref gt favor tonight,0,0,0,0,1,0,0,0
nl top bureaucrat director group formed oppose nl top megaproject nlpoli never dull,0,0,1,0,0,1,0,0
watch amazing broadcast musically,0,0,0,0,1,0,0,1
no one want win wild card play cub road sadness,0,1,0,0,0,1,0,0
amal clooney try prosecute bush blair war crime turned world upside dowdcreated terrorism,1,0,1,1,0,0,0,0
danish pastry oh know nightmare old boots good description g,0,1,0,1,0,1,0,0
watching jubilant scrum end day remembering still kid priceless,0,1,0,0,1,0,0,1
stop press said proposed something racist shocking,1,0,1,0,0,0,1,0
not obrien supposed sort offens genius,1,1,1,0,0,1,0,0
good morning chirpy spring equinox pen sister autumn equinox perfect day however expressed beautyof balance,0,0,0,0,1,0,0,1
difference someone selfies happy versus unhappy absolutely amazing,0,1,0,0,1,0,1,0
think wallow swift gone photo 3 night ago not seen since sad autumn,0,1,0,0,0,1,0,0
bret point cena balor sting,0,1,0,0,0,0,0,0
told chiropractor good time not long time questioned habit yet unnerved doctor,0,1,0,0,1,0,0,0
